dataset_id,dataset_name,description,source_url,license,modalities,languages,year_published,paper_title,paper_url,dataset_size,dataset_splits,num_classes,associated_tasks,benchmark_urls,pwc_url
10000-people-human-pose-recognition-data,"10,000 People - Human Pose Recognition Data Dataset","Description:
10,000 People - Human Pose Recognition Data. This dataset includes indoor and outdoor scenes.This dataset covers males and females. Age distribution ranges from teenager to the elderly, the middle-aged and young people are the majorities. The data diversity includes different shooting heights, different ages, different light conditions, different collecting environment, clothes in different seasons, multiple human poses. For each subject, the labels of gender, race, age, collecting environment and clothes were annotated. The data can be used for human pose recognition and other tasks.

Data size:
10,000 people

Race distribution:
Asian (Chinese)",https://production-media.paperswithcode.com/datasets/da76c793-ff57-4d89-90bf-ec04e02fe149.png,EditCommercial license,"3D, Image, Video",,,,,,,,"Pose Tracking, Object Detection, Contrastive Learning, Pose Estimation","object-detection-on-10000-people-human-pose, contrastive-learning-on-10000-people-human",
300w,300W Dataset,"The 300-W is a face dataset that consists of 300 Indoor and 300 Outdoor in-the-wild images. It covers a large variation of identity, expression, illumination conditions, pose, occlusion and face size. The images were downloaded from google.com by making queries such as “party”, “conference”, “protests”, “football” and “celebrities”. Compared to the rest of in-the-wild datasets, the 300-W database contains a larger percentage of partially-occluded images and covers more expressions than the common “neutral” or “smile”, such as “surprise” or “scream”.
Images were annotated with the 68-point mark-up using a semi-automatic methodology. The images of the database were carefully selected so that they represent a characteristic sample of challenging but natural face instances under totally unconstrained conditions. Thus, methods that achieve accurate performance on the 300-W database can demonstrate the same accuracy in most realistic cases.
Many images of the database contain more than one annotated faces (293 images with 1 face, 53 images with 2 faces and 53 images with [3, 7] faces). Consequently, the database consists of 600 annotated face instances, but 399 unique images. Finally, there is a large variety of face sizes. Specifically, 49.3% of the faces have size in the range [48.6k, 2.0M] and the overall mean size is 85k (about 292 × 292) pixels.",https://ibug.doc.ic.ac.uk/media/uploads/documents/sagonas_2016_imavis.pdf,"EditCustom (research-only, non-commercial)","3D, Image",,,,,293 images,"tests”, “football” and “celebrities”. Compared to the rest of in-the-wild datasets, the 300-W database contains a larger percentage of partially-occluded images",,"Face Alignment, Unsupervised Facial Landmark Detection, Facial Landmark Detection, 2D Pose Estimation, 3D Reconstruction, Pose Estimation","facial-landmark-detection-on-300w, unsupervised-facial-landmark-detection-on, pose-estimation-on-300w-full, face-alignment-on-300w-split-2-300w-lp, 2d-pose-estimation-on-300w, 3d-reconstruction-on-300w, face-alignment-on-300w, facial-landmark-detection-on-300w-full, face-alignment-on-300w-split-2",
3dpw,3DPW Dataset,"The 3D Poses in the Wild dataset is the first dataset in the wild with accurate 3D poses for evaluation. While other datasets outdoors exist, they are all restricted to a small recording volume. 3DPW is the first one that includes video footage taken from a moving phone camera.

The dataset includes:


60 video sequences.
2D pose annotations.
3D poses obtained with the method introduced in the paper.
Camera poses for every frame in the sequences.
3D body scans and 3D people models (re-poseable and re-shapeable). Each sequence contains its corresponding models.
18 3D models in different clothing variations.",http://virtualhumans.mpi-inf.mpg.de/3DPW,"EditCustom (research-only, non-commercial)","3D, Image, Time Series",,,,,,,,"Human Pose Forecasting, 3D Human Pose Estimation, Hand Pose Estimation, Pose Estimation, Cross-domain 3D Human Pose Estimation","3d-human-pose-estimation-on-3dpw, pose-estimation-on-3dpw, human-pose-forecasting-on-3dpw, cross-domain-3d-human-pose-estimation-on-3dpw, hand-pose-estimation-on-3dpw",
amass,AMASS Dataset,"AMASS is a large database of human motion unifying different optical marker-based motion capture datasets by representing them within a common framework and parameterization. AMASS is readily useful for animation, visualization, and generating training data for deep learning.",https://production-media.paperswithcode.com/datasets/Screenshot_2021-01-28_at_14.25.22.png,"EditCustom (research-only, non-commercial)","3D, Image, Time Series",,,,,,,,"Human Pose Forecasting, 3D Human Pose Estimation, Pose Estimation",human-pose-forecasting-on-amass,
bdd100k,BDD100K Dataset,"Datasets drive vision progress, yet existing driving datasets are impoverished in terms of visual content and supported tasks to study multitask learning for autonomous driving. Researchers are usually constrained to study a small set of problems on one dataset, while real-world computer vision applications require performing tasks of various complexities. We construct BDD100K, the largest driving video dataset with 100K videos and 10 tasks to evaluate the exciting progress of image recognition algorithms on autonomous driving. The dataset possesses geographic, environmental, and weather diversity, which is useful for training models that are less likely to be surprised by new conditions. Based on this diverse dataset, we build a benchmark for heterogeneous multitask learning and study how to solve the tasks together. Our experiments show that special training strategies are needed for existing models to perform such heterogeneous tasks. BDD100K opens the door for future studies in this important venue. More detail is at the dataset home page.",https://production-media.paperswithcode.com/datasets/bdd.gif,EditMixed License,"Image, Video",,,,,,,,"Image Classification, 2D Object Detection, Multiple Object Track and Segmentation, Amodal Panoptic Segmentation, Multi-Object Tracking and Segmentation, Traffic Object Detection, Multiple Object Tracking, Drivable Area Detection, Panoptic Segmentation, Instance Segmentation, Video Instance Segmentation, Multi-Object Tracking, Lane Detection, Domain Adaptation, Steering Control, Semantic Segmentation, Object Detection, Video Segmentation, Semi-Supervised Instance Segmentation","2d-object-detection-on-bdd100k-val, instance-segmentation-on-bdd100k-val, object-detection-on-bdd100k, steering-control-on-bdd100k-val, multi-object-tracking-on-bdd100k, multiple-object-tracking-on-bdd100k-val, semantic-segmentation-on-bdd100k-val, amodal-panoptic-segmentation-on-bdd100k-val, traffic-object-detection-on-bdd100k-val, lane-detection-on-bdd100k-val, multiple-object-tracking-on-bdd100k-test-1, drivable-area-detection-on-bdd100k-val, object-detection-on-bdd100k-val, multiple-object-track-and-segmentation-on-2, multi-object-tracking-and-segmentation-on-3, video-instance-segmentation-on-bdd100k-val",
coco,MS COCO Dataset,"The MS COCO (Microsoft Common Objects in Context) dataset is a large-scale object detection, segmentation, key-point detection, and captioning dataset. The dataset consists of 328K images.

Splits:
The first version of MS COCO dataset was released in 2014. It contains 164K images split into training (83K), validation (41K) and test (41K) sets. In 2015 additional test set of 81K images was released, including all the previous test images and 40K new images.

Based on community feedback, in 2017 the training/validation split was changed from 83K/41K to 118K/5K. The new split uses the same images and annotations. The 2017 test set is a subset of 41K images of the 2015 test set. Additionally, the 2017 release contains a new unannotated dataset of 123K images.

Annotations:
The dataset has annotations for


object detection: bounding boxes and per-instance segmentation masks with 80 object categories,
captioning: natural language descriptions of the images (see MS COCO Captions),
keypoints detection: containing more than 200,000 images and 250,000 person instances labeled with keypoints (17 possible keypoints, such as left eye, nose, right hip, right ankle),
stuff image segmentation – per-pixel segmentation masks with 91 stuff categories, such as grass, wall, sky (see MS COCO Stuff),
panoptic: full scene segmentation, with 80 thing categories (such as person, bicycle, elephant) and a subset of 91 stuff categories (grass, sky, road),
dense pose: more than 39,000 images and 56,000 person instances labeled with DensePose annotations – each labeled person is annotated with an instance id and a mapping between image pixels that belong to that person body and a template 3D model.
The annotations are publicly available only for training and validation images.",https://cocodataset.org/,EditCustom,"3D, Graph, Image, Text",English,2014,,,328K images,"split into training (83K), validation (41K) and test (41K) sets. In 2015 additional test set of 81K images",,"Homography Estimation, Generalized Zero-Shot Object Detection, Scene Graph Generation, Image Captioning, Few-Shot Object Detection, Unsupervised Object Localization, Few Shot Open Set Object Detection, Visual Question Answering, Object Localization, Unsupervised Semantic Segmentation, Quantization, Object Proposal Generation, One-Shot Instance Segmentation, Paraphrase Generation, Real-Time Object Detection, Open World Object Detection, Zero-shot Text-to-Image Retrieval, One-Shot Object Detection, Semi Supervised Learning for Image Captioning, Interactive Segmentation, Visual Question Answering (VQA), Multi-Label Image Classification, Conditional Image Generation, Point-Supervised Instance Segmentation, mage-to-Text Retrieval, Multi-Label Learning, Question Answering, Active Object Detection, Image Outpainting, Layout-to-Image Generation, Open Vocabulary Object Detection, Image-to-Text Retrieval, Panoptic Segmentation, Weakly Supervised Object Detection, Activeness Detection, Robust Object Detection, Single-object discovery, Region Proposal, Instance Segmentation, Keypoint Detection, Text-to-Image Generation, Question Generation, Zero-Shot Object Detection, Zero-Shot Cross-Modal Retrieval, Knowledge Distillation, Unsupervised Semantic Segmentation with Language-image Pre-training, Multi-Label Classification, Semantic Segmentation, Image Retrieval, Multi-Person Pose Estimation, Real-time Instance Segmentation, Weakly-supervised instance segmentation, Multi-object discovery, Cross-Modal Retrieval, Object Detection, Box-supervised Instance Segmentation, Pose Estimation, Object Counting, Zero-Shot Composed Image Retrieval (ZS-CIR), Image-level Supervised Instance Segmentation","instance-segmentation-on-coco-minval, question-answering-on-coco-visual-question, pose-estimation-on-ms-coco, mage-to-text-retrieval-on-mscoco, open-vocabulary-object-detection-on-mscoco, cross-modal-retrieval-on-coco-2014, layout-to-image-generation-on-coco-stuff-4, object-detection-on-coco-1, visual-question-answering-on-coco, keypoint-detection-on-coco, object-detection-on-coco-5, visual-question-answering-on-coco-visual-4, pose-estimation-on-coco, image-outpainting-on-mscoco, object-proposal-generation-on-coco, image-retrieval-on-coco, image-retrieval-on-mscoco, region-proposal-on-coco-test-dev, zero-shot-composed-image-retrieval-zs-cir-on-4, weakly-supervised-object-detection-on-mscoco, pose-estimation-on-coco-minival, image-level-supervised-instance-segmentation-1, zero-shot-text-to-image-retrieval-on-ms-coco, panoptic-segmentation-on-coco-panoptic, pose-estimation-on-coco-test-dev, semantic-segmentation-on-coco-1, point-supervised-instance-segmentation-on-1, few-shot-object-detection-on-ms-coco-10-shot, real-time-instance-segmentation-on-mscoco, text-to-image-generation-on-ms-coco, cross-modal-retrieval-on-mscoco, pose-estimation-on-densepose-coco, image-to-text-retrieval-on-coco, one-shot-instance-segmentation-on-coco, single-object-discovery-on-coco-20k, box-supervised-instance-segmentation-on-coco, visual-question-answering-on-coco-visual-5, scene-graph-generation-on-ms-coco, text-to-image-generation-on-coco, active-object-detection-on-coco, interactive-segmentation-on-coco, open-world-object-detection-on-coco-2017-2, image-captioning-on-mscoco-1, weakly-supervised-object-detection-on-coco-2, image-captioning-on-coco, question-generation-on-coco-visual-question, object-detection-on-mscoco-6, zero-shot-object-detection-on-ms-coco, unsupervised-semantic-segmentation-with-5, instance-segmentation-on-coco, knowledge-distillation-on-coco, zero-shot-object-detection-on-mscoco, generalized-zero-shot-object-detection-on-ms, keypoint-detection-on-coco-test-dev, paraphrase-generation-on-mscoco, multi-person-pose-estimation-on-coco-test-dev, object-counting-on-coco-count-test, zero-shot-cross-modal-retrieval-on-coco-2014, panoptic-segmentation-on-coco-minival, interactive-segmentation-on-coco-minival, few-shot-object-detection-on-coco-2017, object-detection-on-coco, multi-label-classification-on-ms-coco, one-shot-object-detection-on-coco, unsupervised-semantic-segmentation-on-coco-1, object-detection-on-coco-2017, multi-person-pose-estimation-on-coco, open-world-object-detection-on-coco-2017, image-captioning-on-ms-coco, homography-estimation-on-coco-2014, multi-person-pose-estimation-on-coco-minival, panoptic-segmentation-on-coco-test-dev, visual-question-answering-on-coco-visual, multi-object-discovery-on-coco-20k, robust-object-detection-on-coco, real-time-instance-segmentation-on-mscoco-1k, instance-segmentation-on-coco-minival, object-detection-on-coco-minival, few-shot-open-set-object-detection-on-mscoco, conditional-image-generation-on-coco-animals, weakly-supervised-object-detection-on-coco, quantization-on-coco, unsupervised-object-localization-on-coco-20k, keypoint-detection-on-coco-test-challenge, cross-modal-retrieval-on-mscoco-1k, multi-label-learning-on-coco-2014, visual-question-answering-on-coco-visual-1, visual-question-answering-on-coco-visual-2, object-detection-on-mscoco-7, visual-question-answering-on-coco-visual-3, open-world-object-detection-on-coco-2017-1, multi-label-image-classification-on-mscoco, semi-supervised-learning-for-image-captioning, weakly-supervised-instance-segmentation-on-2, activeness-detection-on-coco-test-dev, real-time-object-detection-on-coco",
densepose,DensePose Dataset,"DensePose-COCO is a large-scale ground-truth dataset with image-to-surface correspondences manually annotated
on 50K COCO images and train DensePose-RCNN, to densely regress part-specific UV coordinates within every human
region at multiple frames per second.",https://arxiv.org/pdf/1802.00434v1.pdf,EditCC BY-NC 2.0,"3D, Image, Text",English,,,,,,,"3D Human Pose Estimation, Pose Estimation, Image Generation",,
gqa,GQA Dataset,"The GQA dataset is a large-scale visual question answering dataset with real images from the Visual Genome dataset and balanced question-answer pairs. Each training and validation image is also associated with scene graph annotations describing the classes and attributes of those objects in the scene, and their pairwise relations. Along with the images and question-answer pairs, the GQA dataset provides two types of pre-extracted visual features for each image – convolutional grid features of size 7×7×2048 extracted from a ResNet-101 network trained on ImageNet, and object detection features of size Ndet×2048 (where Ndet is the number of detected objects in each image with a maximum of 100 per image) from a Faster R-CNN detector.",https://arxiv.org/abs/1905.04405,EditCC BY 4.0,"Graph, Image, Text",English,2048,,,,"training and validation image is also associated with scene graph annotations describing the classes and attributes of those objects in the scene, and their pairwise relations. Along with the images",,"Scene Graph Generation, Visual Question Answering (VQA), Visual Question Answering, Object Detection, Graph Question Answering","visual-question-answering-on-gqa, visual-question-answering-on-gqa-1, scene-graph-generation-on-gqa, visual-question-answering-on-gqa-test-dev, object-detection-on-gqa, graph-question-answering-on-gqa, visual-question-answering-on-gqa-test-std, visual-question-answering-on-gqa-test2019",
jhmdb,JHMDB Dataset,"JHMDB is an action recognition dataset that consists of 960 video sequences belonging to 21 actions. It is a subset of the larger HMDB51 dataset collected from digitized movies and YouTube videos. The dataset contains video and annotation for puppet flow per frame (approximated optimal flow on the person), puppet mask per frame, joint positions per frame, action label per clip and meta label per clip (camera motion, visible body parts, camera viewpoint, number of people, video quality).",https://arxiv.org/abs/2008.09880,EditUnknown,"3D, Image, Video",,,,,,,,"Skeleton Based Action Recognition, 2D Human Pose Estimation, Referring Expression Segmentation, Action Detection, Pose Estimation","2d-human-pose-estimation-on-jhmdb-2d-poses, skeleton-based-action-recognition-on-jhmdb-2d, skeleton-based-action-recognition-on-jhmdb, skeleton-based-action-recognition-on-j-hmbd, action-detection-on-j-hmdb, referring-expression-segmentation-on-j-hmdb, pose-estimation-on-j-hmdb, skeleton-based-action-recognition-on-j-hmdb",
kitti,KITTI Dataset,"KITTI (Karlsruhe Institute of Technology and Toyota Technological Institute) is one of the most popular datasets for use in mobile robotics and autonomous driving. It consists of hours of traffic scenarios recorded with a variety of sensor modalities, including high-resolution RGB, grayscale stereo cameras, and a 3D laser scanner. Despite its popularity, the dataset itself does not contain ground truth for semantic segmentation. However, various researchers have manually annotated parts of the dataset to fit their necessities. Álvarez et al. generated ground truth for 323 images from the road detection challenge with three classes: road, vertical, and sky. Zhang et al. annotated 252 (140 for training and 112 for testing) acquisitions – RGB and Velodyne scans – from the tracking challenge for ten object categories: building, sky, road, vegetation, sidewalk, car, pedestrian, cyclist, sign/pole, and fence. Ros et al. labeled 170 training images and 46 testing images (from the visual odometry challenge) with 11 classes: building, tree, sky, car, sign, road, pedestrian, fence, pole, sidewalk, and bicyclist.",https://arxiv.org/abs/1704.06857,EditCC BY-NC-SA 3.0,"3D, Image, Text, Time Series, Video",English,,,,323 images,"training and 112 for testing) acquisitions – RGB and Velodyne scans – from the tracking challenge for ten object categories: building, sky, road, vegetation, sidewalk, car, pedestrian, cyclist, sign/pole, and fence. Ros et al. labeled 170 training images",11,"Monocular Cross-View Road Scene Parsing(Road), Visual Place Recognition, Dense Pixel Correspondence Estimation, Stereo Disparity Estimation, Scene Flow Estimation, Text-To-SQL, Unsupervised Monocular Depth Estimation, Horizon Line Estimation, Object Localization, 3D Object Tracking, Image Super-Resolution, Monocular Depth Estimation, Object Tracking, Stereo Depth Estimation, Vehicle Pose Estimation, Monocular Cross-View Road Scene Parsing(Vehicle), Optical Flow Estimation, Depth Completion, Image to Point Cloud Registration, 3D Object Detection From Stereo Images, Multiple Object Tracking, Visual Odometry, Video Prediction, Depth Prediction, Point Cloud Registration, Image Clustering, Image Dehazing, Panoptic Segmentation, 3D Single Object Tracking, Monocular 3D Object Detection, Stereo Image Super-Resolution, Scene Generation, Image-to-Image Translation, Knowledge Distillation, Unsupervised Object Detection, Semantic Segmentation, Transfer Learning, Real-time Instance Segmentation, Egocentric Pose Estimation, Prediction Of Occupancy Grid Maps, Object Detection, 3D Object Detection, Novel View Synthesis, Pose Estimation, Depth Estimation, Birds Eye View Object Detection","monocular-3d-object-detection-on-kitti-7, stereo-image-super-resolution-on-kitti2015-4x, monocular-3d-object-detection-on-kitti-5, 3d-object-detection-on-kitti-cars-easy, 3d-object-detection-on-kitti-cyclists-easy, 3d-object-detection-on-kitti-pedestrians-1, pose-estimation-on-kitti-2015, object-localization-on-kitti-pedestrian-easy, image-super-resolution-on-kitti-2012-4x, stereo-depth-estimation-on-kitti2012, visual-place-recognition-on-kitti, depth-estimation-on-kitti-2015, stereo-image-super-resolution-on-kitti2015-2x, depth-estimation-on-kitti-eigen-split-3, object-localization-on-kitti-cyclists-easy, 3d-object-detection-on-kitti-cyclists-1, object-detection-on-kitti-cars-moderate, image-super-resolution-on-kitti-2015-2x, stereo-image-super-resolution-on-kitti2012-2x-1, monocular-depth-estimation-on-kitti-object, birds-eye-view-object-detection-on-kitti-16, object-localization-on-kitti-cars-moderate, image-dehazing-on-kitti, birds-eye-view-object-detection-on-kitti-4, real-time-instance-segmentation-on-kitti, novel-view-synthesis-on-kitti, birds-eye-view-object-detection-on-kitti-17, vehicle-pose-estimation-on-kitti, birds-eye-view-object-detection-on-kitti-cars-5, 3d-object-detection-on-kitti-cyclist-easy-val, birds-eye-view-object-detection-on-kitti-13, stereo-disparity-estimation-on-kitti-2015, point-cloud-registration-on-kitti, novel-view-synthesis-on-kitti-novel-view, optical-flow-estimation-on-kitti-2015-train, 3d-object-detection-on-kitti-cyclist-moderate, vehicle-pose-estimation-on-kitti-cars-hard, semantic-segmentation-on-kitti-semantic, monocular-3d-object-detection-on-kitti-4, birds-eye-view-object-detection-on-kitti-cars, birds-eye-view-object-detection-on-kitti-7, monocular-cross-view-road-scene-parsing-road-1, object-tracking-on-kitti, object-detection-on-kitti-cyclists-hard, 3d-object-detection-from-stereo-images-on-3, egocentric-pose-estimation-on-kitti-odometry, 3d-object-detection-on-kitti-pedestrian-2, scene-flow-estimation-on-kitti-2015-scene-1, object-detection-on-kitti-pedestrians, birds-eye-view-object-detection-on-kitti-cars-3, 3d-object-detection-on-kitti-pedestrians, object-localization-on-kitti-pedestrians, monocular-cross-view-road-scene-parsing-road, 3d-object-detection-on-kitti-pedestrians-easy, test-results-on-kitti, stereo-depth-estimation-on-kitti2015, object-detection-on-kitti-cars-easy, birds-eye-view-object-detection-on-kitti-11, object-detection-on-kitti-pedestrians-hard, optical-flow-estimation-on-kitti-2015-2, unsupervised-object-detection-on-kitti, monocular-3d-object-detection-on-kitti, birds-eye-view-object-detection-on-kitti-2, video-prediction-on-kitti, object-localization-on-kitti-cyclists, transfer-learning-on-kitti-object-tracking, 3d-object-detection-on-kitti-pedestrian-easy-1, monocular-3d-object-detection-on-kitti-cars-2, stereo-image-super-resolution-on-kitti2012-4x, scene-flow-estimation-on-kitti-2015-scene, stereo-image-super-resolution-on-kitti2012-2x-2, 3d-object-detection-from-stereo-images-on-1, 3d-object-detection-on-kitti-pedestrians-hard, birds-eye-view-object-detection-on-kitti-cars-4, object-localization-on-kitti-cars-hard, text-to-sql-on-2d-kitti-cars-easy, birds-eye-view-object-detection-on-kitti-12, image-to-image-translation-on-kitti-object, monocular-3d-object-detection-on-kitti-1, optical-flow-estimation-on-kitti-2012, object-detection-on-kitti-cyclists-moderate, image-super-resolution-on-kitti-2015-4x, knowledge-distillation-on-kitti, object-localization-on-kitti-pedestrians-hard, 3d-object-detection-on-kitti-pedestrian-hard-1, monocular-3d-object-detection-on-kitti-6, point-cloud-registration-on-kitti-fcgf, birds-eye-view-object-detection-on-kitti-9, unsupervised-monocular-depth-estimation-on-4, depth-completion-on-kitti, image-clustering-on-kitti, panoptic-segmentation-on-kitti-panoptic-1, horizon-line-estimation-on-kitti-horizon, stereo-depth-estimation-on-kitti-2015, 3d-object-detection-on-kitti-cyclists-hard, birds-eye-view-object-detection-on-kitti-cars-2, dense-pixel-correspondence-estimation-on-1, image-to-point-cloud-registration-on-kitti, monocular-depth-estimation-on-kitti-eigen, 3d-object-detection-on-kitti-cars-hard-val, birds-eye-view-object-detection-on-kitti-3, 3d-object-detection-on-kitti-cars-easy-val, 3d-object-detection-from-stereo-images-on-2, monocular-depth-estimation-on-kitti-2, object-localization-on-kitti-pedestrians-easy, birds-eye-view-object-detection-on-kitti-8, object-localization-on-kitti-cyclists-hard, optical-flow-estimation-on-kitti-2012-2, object-detection-on-kitti-pedestrians-easy, optical-flow-estimation-on-kitti-2015, birds-eye-view-object-detection-on-kitti-1, stereo-image-super-resolution-on-kitti2012-2x-3, dense-pixel-correspondence-estimation-on-2, multiple-object-tracking-on-kitti-test-online, image-super-resolution-on-kitti-2012-2x, point-cloud-registration-on-kitti-trained-on, 3d-object-detection-on-kitti-cyclists, 3d-object-detection-on-kitti-pedestrian-hard, scene-generation-on-kitti, birds-eye-view-object-detection-on-kitti-6, monocular-depth-estimation-on-kitti-eigen-1, object-localization-on-kitti-cars-easy, 3d-object-detection-on-kitti-cyclist-hard-val, monocular-3d-object-detection-on-kitti-cars, monocular-3d-object-detection-on-kitti-cars-1, depth-prediction-on-kitti-2015, birds-eye-view-object-detection-on-kitti-cars-1, birds-eye-view-object-detection-on-kitti-10, 3d-object-detection-on-kitti-pedestrian-easy, 3d-object-detection-on-kitti-pedestrian-1, unsupervised-monocular-depth-estimation-on-5, unsupervised-monocular-depth-estimation-on-1, 3d-object-detection-on-kitti-pedestrian, multiple-object-tracking-on-kitti-test, birds-eye-view-object-detection-on-kitti, object-detection-on-kitti-cars-hard, monocular-cross-view-road-scene-parsing, object-detection-on-kitti-cyclists-easy, 3d-object-detection-on-kitti-cars-hard, 3d-object-detection-on-kitti-cars-moderate-1, birds-eye-view-object-detection-on-kitti-5, monocular-3d-object-detection-on-kitti-3",
